example_id                                                       | status  | run_time        |
./spec/requests/api/v1/admin/users_spec.rb[1:1:2:1]              | passed  | 0.16785 seconds |
./spec/requests/api/v1/admin/users_spec.rb[1:1:3:1]              | passed  | 0.00418 seconds |
./spec/requests/api/v1/admin/users_spec.rb[1:2:1:1]              | passed  | 0.31331 seconds |
./spec/requests/api/v1/admin/users_spec.rb[1:2:1:2]              | passed  | 0.32452 seconds |
./spec/requests/api/v1/admin/users_spec.rb[1:2:2:1]              | passed  | 0.29775 seconds |
./spec/requests/api/v1/builds_spec.rb[1:1:1:1]                   | passed  | 0.3208 seconds  |
./spec/requests/api/v1/builds_spec.rb[1:1:2:1]                   | passed  | 0.00389 seconds |
./spec/requests/api/v1/builds_spec.rb[1:2:1:1]                   | passed  | 0.1815 seconds  |
./spec/requests/api/v1/builds_spec.rb[1:2:2:1]                   | passed  | 0.31627 seconds |
./spec/requests/api/v1/builds_spec.rb[1:2:3:1]                   | passed  | 0.21119 seconds |
./spec/requests/api/v1/builds_spec.rb[1:3:1:1]                   | passed  | 0.18162 seconds |
./spec/requests/api/v1/builds_spec.rb[1:3:2:1]                   | passed  | 0.0066 seconds  |
./spec/requests/api/v1/builds_spec.rb[1:4:1:1]                   | passed  | 0.19486 seconds |
./spec/requests/api/v1/builds_spec.rb[1:4:2:1]                   | passed  | 0.16274 seconds |
./spec/requests/api/v1/builds_spec.rb[1:4:3:1]                   | passed  | 0.02535 seconds |
./spec/requests/api/v1/builds_spec.rb[1:5:1:1]                   | passed  | 0.2267 seconds  |
./spec/requests/api/v1/builds_spec.rb[1:5:2:1]                   | passed  | 0.30384 seconds |
./spec/requests/api/v1/builds_spec.rb[1:5:3:1]                   | passed  | 0.17284 seconds |
./spec/requests/api/v1/builds_spec.rb[1:6:1:1]                   | passed  | 0.17543 seconds |
./spec/requests/api/v1/builds_spec.rb[1:6:2:1]                   | passed  | 0.31499 seconds |
./spec/requests/api/v1/builds_spec.rb[1:6:3:1]                   | passed  | 0.16333 seconds |
./spec/requests/api/v1/debug_spec.rb[1:1]                        | passed  | 0.02136 seconds |
./spec/requests/api/v1/parts_spec.rb[1:1:1:1]                    | passed  | 0.03149 seconds |
./spec/requests/api/v1/parts_spec.rb[1:1:2:1]                    | passed  | 0.02658 seconds |
./spec/requests/api/v1/parts_spec.rb[1:1:2:2]                    | passed  | 0.03415 seconds |
./spec/requests/api/v1/parts_spec.rb[1:1:3:1]                    | passed  | 0.03243 seconds |
./spec/requests/api/v1/parts_spec.rb[1:1:4:1]                    | passed  | 0.03539 seconds |
./spec/requests/api/v1/parts_spec.rb[1:1:4:2]                    | passed  | 0.03108 seconds |
./spec/requests/api/v1/parts_spec.rb[1:1:4:3]                    | passed  | 0.03064 seconds |
./spec/requests/api/v1/parts_spec.rb[1:1:5:1]                    | passed  | 0.0879 seconds  |
./spec/requests/api/v1/parts_spec.rb[1:1:5:2]                    | passed  | 0.08572 seconds |
./spec/requests/api/v1/parts_spec.rb[1:1:5:3]                    | passed  | 0.1142 seconds  |
./spec/requests/api/v1/parts_spec.rb[1:1:6:1]                    | passed  | 0.01043 seconds |
./spec/requests/api/v1/parts_spec.rb[1:2:1:1]                    | passed  | 0.01876 seconds |
./spec/requests/api/v1/parts_spec.rb[1:2:1:2]                    | passed  | 0.02454 seconds |
./spec/requests/api/v1/parts_spec.rb[1:2:2:1]                    | passed  | 0.01989 seconds |
./spec/requests/api/v1/parts_spec.rb[1:2:2:2]                    | passed  | 0.01804 seconds |
./spec/requests/api/v1/parts_spec.rb[1:2:3:1:1]                  | passed  | 0.01764 seconds |
./spec/requests/api/v1/parts_spec.rb[1:2:3:1:2]                  | passed  | 0.01906 seconds |
./spec/requests/api/v1/parts_spec.rb[1:2:3:1:3]                  | passed  | 0.01926 seconds |
./spec/requests/api/v1/parts_spec.rb[1:2:3:2:1]                  | passed  | 0.02092 seconds |
./spec/requests/api/v1/parts_spec.rb[1:2:4:1]                    | passed  | 0.0202 seconds  |
./spec/requests/api/v1/parts_spec.rb[1:2:4:2]                    | passed  | 0.02563 seconds |
./spec/requests/api/v1/parts_spec.rb[1:3:1:1]                    | passed  | 0.03764 seconds |
./spec/requests/api/v1/parts_spec.rb[1:3:1:2]                    | passed  | 0.0391 seconds  |
./spec/requests/api/v1/parts_spec.rb[1:3:2:1]                    | passed  | 0.04413 seconds |
./spec/requests/api/v1/parts_spec.rb[1:3:2:2]                    | passed  | 0.04261 seconds |
./spec/requests/api/v1/parts_spec.rb[1:3:3:1]                    | passed  | 0.03206 seconds |
./spec/requests/api/v1/parts_spec.rb[1:3:3:2]                    | passed  | 0.03847 seconds |
./spec/requests/api/v1/parts_spec.rb[1:3:3:3]                    | passed  | 0.03316 seconds |
./spec/requests/api/v1/parts_spec.rb[1:3:4:1]                    | passed  | 0.03088 seconds |
./spec/requests/api/v1/parts_spec.rb[1:3:4:2]                    | passed  | 0.03569 seconds |
./spec/requests/api/v1/parts_spec.rb[1:4:1:1]                    | passed  | 0.01477 seconds |
./spec/requests/api/v1/parts_spec.rb[1:4:2:1]                    | passed  | 0.00748 seconds |
./spec/requests/api/v1/presets_spec.rb[1:1:1:1]                  | passed  | 0.07434 seconds |
./spec/requests/api/v1/presets_spec.rb[1:1:2:1]                  | passed  | 0.10576 seconds |
./spec/requests/api/v1/presets_spec.rb[1:1:3:1]                  | passed  | 0.07613 seconds |
./spec/requests/api/v1/presets_spec.rb[1:1:4:1]                  | passed  | 0.07119 seconds |
